subject,window_id,start_sample,end_sample,start_time_seconds,end_time_seconds,wesad_label,stress_label
S10,12,6144,6656,96.0,104.0,1,0
S10,13,6656,7168,104.0,112.0,1,0
S10,14,7168,7680,112.0,120.0,1,0
S10,15,7680,8192,120.0,128.0,1,0
S10,16,8192,8704,128.0,136.0,1,0
S10,17,8704,9216,136.0,144.0,1,0
S10,18,9216,9728,144.0,152.0,1,0
S10,19,9728,10240,152.0,160.0,1,0
S10,20,10240,10752,160.0,168.0,1,0
S10,21,10752,11264,168.0,176.0,1,0
S10,22,11264,11776,176.0,184.0,1,0
S10,23,11776,12288,184.0,192.0,1,0
S10,24,12288,12800,192.0,200.0,1,0
S10,25,12800,13312,200.0,208.0,1,0
S10,26,13312,13824,208.0,216.0,1,0
S10,27,13824,14336,216.0,224.0,1,0
S10,28,14336,14848,224.0,232.0,1,0
S10,29,14848,15360,232.0,240.0,1,0
S10,30,15360,15872,240.0,248.0,1,0
S10,31,15872,16384,248.0,256.0,1,0
S10,32,16384,16896,256.0,264.0,1,0
S10,33,16896,17408,264.0,272.0,1,0
S10,34,17408,17920,272.0,280.0,1,0
S10,35,17920,18432,280.0,288.0,1,0
S10,36,18432,18944,288.0,296.0,1,0
S10,37,18944,19456,296.0,304.0,1,0
S10,38,19456,19968,304.0,312.0,1,0
S10,39,19968,20480,312.0,320.0,1,0
S10,40,20480,20992,320.0,328.0,1,0
S10,41,20992,21504,328.0,336.0,1,0
S10,42,21504,22016,336.0,344.0,1,0
S10,43,22016,22528,344.0,352.0,1,0
S10,44,22528,23040,352.0,360.0,1,0
S10,45,23040,23552,360.0,368.0,1,0
S10,46,23552,24064,368.0,376.0,1,0
S10,47,24064,24576,376.0,384.0,1,0
S10,48,24576,25088,384.0,392.0,1,0
S10,49,25088,25600,392.0,400.0,1,0
S10,50,25600,26112,400.0,408.0,1,0
S10,51,26112,26624,408.0,416.0,1,0
S10,52,26624,27136,416.0,424.0,1,0
S10,53,27136,27648,424.0,432.0,1,0
S10,54,27648,28160,432.0,440.0,1,0
S10,55,28160,28672,440.0,448.0,1,0
S10,56,28672,29184,448.0,456.0,1,0
S10,57,29184,29696,456.0,464.0,1,0
S10,58,29696,30208,464.0,472.0,1,0
S10,59,30208,30720,472.0,480.0,1,0
S10,60,30720,31232,480.0,488.0,1,0
S10,61,31232,31744,488.0,496.0,1,0
S10,62,31744,32256,496.0,504.0,1,0
S10,63,32256,32768,504.0,512.0,1,0
S10,64,32768,33280,512.0,520.0,1,0
S10,65,33280,33792,520.0,528.0,1,0
S10,66,33792,34304,528.0,536.0,1,0
S10,67,34304,34816,536.0,544.0,1,0
S10,68,34816,35328,544.0,552.0,1,0
S10,69,35328,35840,552.0,560.0,1,0
S10,70,35840,36352,560.0,568.0,1,0
S10,71,36352,36864,568.0,576.0,1,0
S10,72,36864,37376,576.0,584.0,1,0
S10,73,37376,37888,584.0,592.0,1,0
S10,74,37888,38400,592.0,600.0,1,0
S10,75,38400,38912,600.0,608.0,1,0
S10,76,38912,39424,608.0,616.0,1,0
S10,77,39424,39936,616.0,624.0,1,0
S10,78,39936,40448,624.0,632.0,1,0
S10,79,40448,40960,632.0,640.0,1,0
S10,80,40960,41472,640.0,648.0,1,0
S10,81,41472,41984,648.0,656.0,1,0
S10,82,41984,42496,656.0,664.0,1,0
S10,83,42496,43008,664.0,672.0,1,0
S10,84,43008,43520,672.0,680.0,1,0
S10,85,43520,44032,680.0,688.0,1,0
S10,86,44032,44544,688.0,696.0,1,0
S10,87,44544,45056,696.0,704.0,1,0
S10,88,45056,45568,704.0,712.0,1,0
S10,89,45568,46080,712.0,720.0,1,0
S10,90,46080,46592,720.0,728.0,1,0
S10,91,46592,47104,728.0,736.0,1,0
S10,92,47104,47616,736.0,744.0,1,0
S10,93,47616,48128,744.0,752.0,1,0
S10,94,48128,48640,752.0,760.0,1,0
S10,95,48640,49152,760.0,768.0,1,0
S10,96,49152,49664,768.0,776.0,1,0
S10,97,49664,50176,776.0,784.0,1,0
S10,98,50176,50688,784.0,792.0,1,0
S10,99,50688,51200,792.0,800.0,1,0
S10,100,51200,51712,800.0,808.0,1,0
S10,101,51712,52224,808.0,816.0,1,0
S10,102,52224,52736,816.0,824.0,1,0
S10,103,52736,53248,824.0,832.0,1,0
S10,104,53248,53760,832.0,840.0,1,0
S10,105,53760,54272,840.0,848.0,1,0
S10,106,54272,54784,848.0,856.0,1,0
S10,107,54784,55296,856.0,864.0,1,0
S10,108,55296,55808,864.0,872.0,1,0
S10,109,55808,56320,872.0,880.0,1,0
S10,110,56320,56832,880.0,888.0,1,0
S10,111,56832,57344,888.0,896.0,1,0
S10,112,57344,57856,896.0,904.0,1,0
S10,113,57856,58368,904.0,912.0,1,0
S10,114,58368,58880,912.0,920.0,1,0
S10,115,58880,59392,920.0,928.0,1,0
S10,116,59392,59904,928.0,936.0,1,0
S10,117,59904,60416,936.0,944.0,1,0
S10,118,60416,60928,944.0,952.0,1,0
S10,119,60928,61440,952.0,960.0,1,0
S10,120,61440,61952,960.0,968.0,1,0
S10,121,61952,62464,968.0,976.0,1,0
S10,122,62464,62976,976.0,984.0,1,0
S10,123,62976,63488,984.0,992.0,1,0
S10,124,63488,64000,992.0,1000.0,1,0
S10,125,64000,64512,1000.0,1008.0,1,0
S10,126,64512,65024,1008.0,1016.0,1,0
S10,127,65024,65536,1016.0,1024.0,1,0
S10,128,65536,66048,1024.0,1032.0,1,0
S10,129,66048,66560,1032.0,1040.0,1,0
S10,130,66560,67072,1040.0,1048.0,1,0
S10,131,67072,67584,1048.0,1056.0,1,0
S10,132,67584,68096,1056.0,1064.0,1,0
S10,133,68096,68608,1064.0,1072.0,1,0
S10,134,68608,69120,1072.0,1080.0,1,0
S10,135,69120,69632,1080.0,1088.0,1,0
S10,136,69632,70144,1088.0,1096.0,1,0
S10,137,70144,70656,1096.0,1104.0,1,0
S10,138,70656,71168,1104.0,1112.0,1,0
S10,139,71168,71680,1112.0,1120.0,1,0
S10,140,71680,72192,1120.0,1128.0,1,0
S10,141,72192,72704,1128.0,1136.0,1,0
S10,142,72704,73216,1136.0,1144.0,1,0
S10,143,73216,73728,1144.0,1152.0,1,0
S10,144,73728,74240,1152.0,1160.0,1,0
S10,145,74240,74752,1160.0,1168.0,1,0
S10,146,74752,75264,1168.0,1176.0,1,0
S10,147,75264,75776,1176.0,1184.0,1,0
S10,148,75776,76288,1184.0,1192.0,1,0
S10,149,76288,76800,1192.0,1200.0,1,0
S10,150,76800,77312,1200.0,1208.0,1,0
S10,151,77312,77824,1208.0,1216.0,1,0
S10,152,77824,78336,1216.0,1224.0,1,0
S10,153,78336,78848,1224.0,1232.0,1,0
S10,154,78848,79360,1232.0,1240.0,1,0
S10,155,79360,79872,1240.0,1248.0,1,0
